ident,commune,type,comptage_5m,indice_congestion_matin,indice_congestion_soir,compteur_latitude,compteur_longitude,stop_id,stop_name,distance_arret_m,lignes_tbm
Z27CT11,Pessac,BOUCLE,37,0.053015,0.087448,44.7973367,-0.6656195,2783,France Alouette,216.0,4
Z27CT11,Pessac,BOUCLE,37,0.053015,0.087448,44.7973367,-0.6656195,2871,France Alouette,222.7,39;77
Z27CT11,Pessac,BOUCLE,37,0.053015,0.087448,44.7973367,-0.6656195,2881,France Alouette,255.8,39;77
Z27CT11,Pessac,BOUCLE,37,0.053015,0.087448,44.7973367,-0.6656195,7440,France Alouette,244.3,B
Z27CT11,Pessac,BOUCLE,37,0.053015,0.087448,44.7973367,-0.6656195,1197,Meyraud,3.4,4;77
Z27CT11,Pessac,BOUCLE,37,0.053015,0.087448,44.7973367,-0.6656195,1238,Meyraud,8.3,4;77
Z22CT12,Lormont,BOUCLE,14,0.099063,0.080589,44.879945,-0.5181813,3015,Cimetière de Lormont,283.0,32
Z22CT12,Lormont,BOUCLE,14,0.099063,0.080589,44.879945,-0.5181813,3684,Lauriers,96.4,A
Z22CT12,Lormont,BOUCLE,14,0.099063,0.080589,44.879945,-0.5181813,4040,Lauriers,68.1,54;66;Bus A
Z22CT12,Lormont,BOUCLE,14,0.099063,0.080589,44.879945,-0.5181813,5488,Lauriers,95.7,A
Z22CT12,Lormont,BOUCLE,14,0.099063,0.080589,44.879945,-0.5181813,5836,Lauriers,177.1,66
Z22CT12,Lormont,BOUCLE,14,0.099063,0.080589,44.879945,-0.5181813,4039,Lauriers (Tram A),115.2,54;66;Bus A
Z22CT13,Cenon,BOUCLE,0,0.055209,0.063130,44.8667967,-0.5091879,904,Kennedy (vers Buttinière),146.6,27;64;67;Artigues
Z22CT13,Cenon,BOUCLE,0,0.055209,0.063130,44.8667967,-0.5091879,1546,Kennedy (vers Rocade),184.3,27;64;67;Artigues
Z22CT13,Cenon,BOUCLE,0,0.055209,0.063130,44.8667967,-0.5091879,9743,Pierre Loti,224.1,66
Z22CT13,Cenon,BOUCLE,0,0.055209,0.063130,44.8667967,-0.5091879,9744,Pierre Loti,228.1,66
Z22CT4,Lormont,BOUCLE,0,0.075993,0.065746,44.8668593,-0.5092224,9729,4 Pavillons,298.5,54
Z22CT4,Lormont,BOUCLE,0,0.075993,0.065746,44.8668593,-0.5092224,904,Kennedy (vers Buttinière),145.3,27;64;67;Artigues
Z22CT4,Lormont,BOUCLE,0,0.075993,0.065746,44.8668593,-0.5092224,1546,Kennedy (vers Rocade),184.3,27;64;67;Artigues
Z22CT4,Lormont,BOUCLE,0,0.075993,0.065746,44.8668593,-0.5092224,9743,Pierre Loti,225.3,66
Z22CT4,Lormont,BOUCLE,0,0.075993,0.065746,44.8668593,-0.5092224,9744,Pierre Loti,229.0,66
Z5CT18,Bordeaux,BOUCLE,0,,,44.8308671,-0.5554624,9249,MECA,282.2,1;Arena
Z5CT18,Bordeaux,BOUCLE,0,,,44.8308671,-0.5554624,9717,MECA (Paludate),281.1,1;Arena;G
Z5CT18,Bordeaux,BOUCLE,0,,,44.8308671,-0.5554624,9268,MECA (Terres de Borde),260.5,31
Z5CT18,Bordeaux,BOUCLE,0,,,44.8308671,-0.5554624,9269,MECA (Terres de Borde),259.2,31
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,3710,Stalingrad,123.5,A;E
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,3711,Stalingrad,128.4,A;E
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,5801,Stalingrad,220.2,24;25;65
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,8142,Stalingrad,149.4,65;Bus F;N2
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,9834,Stalingrad,77.8,28;N4
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,9835,Stalingrad,78.6,60
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,6903,Stalingrad (Parlier),208.0,952
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,7191,Stalingrad (rue de la Benauge),227.5,24;25
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,5854,Stalingrad (Sem),226.2,Arena
Z8CT14,Bordeaux,BOUCLE,0,0.098615,0.069529,44.840426,-0.561341,8132,Stalingrad (Tram A),106.0,Arena;Bus F
