stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,parent_station
BPRECEI,BPRECEI,Préceinte,44.86725600,-0.58473600,0,
BPREFE2,BPREFE2,Préfecture,44.83701000,-0.58711100,0,
BPTWIL,BPTWIL,Président Wilson,44.83930500,-0.63328500,0,
BPUDOTE,BPUDOTE,Pudote,44.92238500,-0.73309700,0,
BPUYO,BPUYO,Puyo,44.89830100,-0.74647000,0,
BPYRE15,BPYRE15,Pyrénées,44.77429000,-0.56469300,0,
BPYRENE,BPYRENE,Pyrénées,44.84528400,-0.77541100,0,
BPYTHA,BPYTHA,Pythagore,44.83133700,-0.68072200,0,
BPEGU74,BPEGU74,Péguy,44.91395200,-0.51206200,0,
BPEGU92,BPEGU92,Péguy,44.91388600,-0.51132900,0,
BSCOPEG,BSCOPEG,Péguy,44.80667600,-0.70607400,0,
BPEPI77,BPEPI77,Pépinières,44.91091000,-0.62330000,0,
BRLACAN,BRLACAN,Péricot,44.90372900,-0.74493700,0,
BPERIN,BPERIN,Périnot,44.85124300,-0.63092800,0,
BPERES,BPERES,Pérès,44.85980900,-0.60843800,0,
BBRAZZ,BBRAZZ,Quai de Brazza,44.85563200,-0.55018100,0,
BQVIAL,BQVIAL,Quai de Vial (Everite),44.92017200,-0.54437400,0,
BDUPEY,BDUPEY,Quai Dupeyron,44.87212600,-0.53744800,0,
BDOUAFR,BDOUAFR,Quai Français,44.89478400,-0.52724400,0,
BNUMA,BNUMA,Quai Numa Sensine,44.87523700,-0.53584400,0,
BDASSA,BDASSA,Quarante Journaux,44.88348300,-0.57085200,0,
T40JOU,T40JOU,Quarante Journaux,44.88308900,-0.57040200,0,
B4CASTE,B4CASTE,Quatre Castéra,44.80601000,-0.53934800,0,
B4CHEM,B4CHEM,Quatre Chemins,44.83245400,-0.64847300,0,
BSBQCH,BSBQCH,Quatre Chemins,44.83263900,-0.64523000,0,
T4CHEM,T4CHEM,Quatre Chemins,44.83260200,-0.64490300,0,
BSCOQUA,BSCOQUA,Quatre Lagunes,44.93701900,-0.71882400,0,
BMUNIC,BMUNIC,Quinconces,44.84462800,-0.57390300,0,
BQLOU18,BQLOU18,Quinconces,44.84532700,-0.57186600,0,
BQMUNIC,BQMUNIC,Quinconces,44.84470200,-0.57308500,0,
BQUIOR,BQUIOR,Quinconces,44.84385300,-0.57390500,0,
TQUIN_B,TQUIN_B,Quinconces,44.84402700,-0.57382700,0,
BQUIN69,BQUIN69,Quinconces (Jean Jaurès),44.84294800,-0.56898300,0,
BQUINSU,BQUINSU,Quinsus,44.95221000,-0.49780200,0,
BRPABER,BRPABER,R.P.A La Bérengère,44.86524100,-0.61200600,0,
BRPAMVI,BRPAMVI,R.P.A Mieux Vivre,44.86827600,-0.58983900,0,
BRACIN,BRACIN,Racine,44.86181900,-0.61549300,0,
BRACINE,BRACINE,Racine,44.90487800,-0.50105100,0,
BRADIO,BRADIO,Radio,44.78518600,-0.68289500,0,
BRADIOL,BRADIOL,Radio Londres,44.79452400,-0.54216200,0,
BCOUHIN,BCOUHIN,Rameau,44.75960400,-0.57307800,0,
BRAMOND,BRAMOND,Ramond,44.89318500,-0.74392900,0,
BREDON,BREDON,Redon,44.91739600,-0.66298700,0,
BCCO38,BCCO38,Reinson,44.87722900,-0.56779800,0,
BREINSO,BREINSO,Reinson,44.87651400,-0.56945100,0,
BRENAUD,BRENAUD,Renaudel,44.86897700,-0.61557400,0,
BMRCOTY,BMRCOTY,René Coty,44.84089100,-0.65372600,0,
BRCOT93,BRCOT93,René Coty,44.92668500,-0.49210500,0,
BRCOTY,BRCOTY,René Coty,44.92640300,-0.49305200,0,
BRCOT94,BRCOT94,René Coty (Pasteur),44.92759400,-0.49187000,0,
BSCORIA,BSCORIA,Riaud,44.82529700,-0.61959400,0,
BRICHA,BRICHA,Richaud,44.88924400,-0.56328200,0,
BRICH99,BRICH99,Richelieu,44.90857100,-0.53494700,0,
BRIGAI,BRIGAI,Rigaillou,44.75764700,-0.58261700,0,
BRIGAL,BRIGAL,Rigal,44.86810400,-0.58011300,0,
BARCINS,BARCINS,Rives d'Arcins,44.79134400,-0.53137500,0,
BRIVIER,BRIVIER,Rivière,44.85713000,-0.58894200,0,
BSCOROB,BSCOROB,Robespierre,44.85962500,-0.73319900,0,
BROCHE,BROCHE,Rochefort,44.77604700,-0.61130400,0,
BSCHWE,BSCHWE,Rocher de Palmer,44.86154900,-0.52332400,0,
BROCQUE,BROCQUE,Rocquevielle,44.84800000,-0.70718700,0,
BRGARO,BRGARO,Roland Garros,44.82950500,-0.68718200,0,
BRGARO2,BRGARO2,Roland Garros,44.82934400,-0.68768500,0,
BRGARR,BRGARR,Roland Garros,44.86163300,-0.62717500,0,
BSCOROM,BSCOROM,Romainville,44.79020200,-0.71340400,0,
BTROMAI,BTROMAI,Romainville,44.79149300,-0.71225500,0,
BRPFEL,BRPFEL,Rond Point Marie Fel,44.88868100,-0.56032400,0,
BRDPOIN,BRDPOIN,Rond-Point,44.80533700,-0.61616200,0,
BRONSA,BRONSA,Ronsard,44.80263600,-0.64155300,0,
BCURIE,BCURIE,Rosa Bonheur,44.80679400,-0.62964400,0,
BPARKS,BPARKS,Rosa Parks,44.84142100,-0.53067400,0,
BSCOROU,BSCOROU,Rouquet,44.81609900,-0.65857100,0,
BROUSS,BROUSS,Rousseau,44.83514100,-0.53005800,0,
TROUST,TROUST,Roustaing,44.81694500,-0.58566500,0,
BRCANE,BRCANE,Route de Canéjan,44.78054900,-0.61503500,0,
BRCORB,BRCORB,Route de Corbiac,44.89195100,-0.70942000,0,
BRCUJAC,BRCUJAC,Route de Cujac,44.92011500,-0.72443900,0,
BRLATRE,BRLATRE,Route de Latresne,44.80478600,-0.50425700,0,
BSCORDL,BSCORDL,Route de Léognan,44.75102300,-0.61643100,0,
BRPAUIL,BRPAUIL,Route de Pauillac,44.88446600,-0.63502400,0,
BRPICOT,BRPICOT,Route de Picot,44.91784600,-0.73458900,0,
BRMEDO,BRMEDO,Route du Médoc,44.87402500,-0.61695700,0,
BSCOROY,BSCOROY,Royaume-Uni,44.79366600,-0.70442400,0,
BROZI1,BROZI1,Rozier,44.94549000,-0.76652600,0,
BRUBEN,BRUBEN,Rubens,44.85226100,-0.51382100,0,
